task: baseline
n_epoch: 500
train_patch_size: 512
lr: 0.0002
bs: 1
n_crop_per_img: 8
train_dgain_range: [10, 200]
save_freq: 100
clean_img_dir: /data/feiran/datasets/sid_sony/Sony/long
benchmark_dir: /data2/feiran/datasets/dev_phase_release
n_worker: 16
seed: 0





epoch: 1, train loss: 2.8481e-02, train psnr: 30.17
epoch: 2, train loss: 1.5448e-02, train psnr: 33.79
epoch: 3, train loss: 1.4683e-02, train psnr: 34.27
epoch: 4, train loss: 1.4042e-02, train psnr: 34.47
epoch: 5, train loss: 1.2656e-02, train psnr: 35.22
epoch: 6, train loss: 1.2233e-02, train psnr: 35.51
epoch: 7, train loss: 1.3490e-02, train psnr: 35.10
epoch: 8, train loss: 1.1873e-02, train psnr: 35.81
epoch: 9, train loss: 1.1002e-02, train psnr: 36.49
epoch: 10, train loss: 1.1116e-02, train psnr: 36.47
epoch: 11, train loss: 1.0696e-02, train psnr: 36.77
epoch: 12, train loss: 1.0505e-02, train psnr: 36.98
epoch: 13, train loss: 1.0437e-02, train psnr: 37.09
epoch: 14, train loss: 1.0451e-02, train psnr: 37.14
epoch: 15, train loss: 1.0022e-02, train psnr: 37.43
epoch: 16, train loss: 9.9244e-03, train psnr: 37.61
epoch: 17, train loss: 1.0136e-02, train psnr: 37.33
epoch: 18, train loss: 9.9658e-03, train psnr: 37.59
epoch: 19, train loss: 9.9900e-03, train psnr: 37.67
epoch: 20, train loss: 9.4161e-03, train psnr: 38.04
epoch: 21, train loss: 9.7857e-03, train psnr: 37.81
epoch: 22, train loss: 9.4751e-03, train psnr: 38.13
epoch: 23, train loss: 9.6877e-03, train psnr: 38.08
epoch: 24, train loss: 9.0736e-03, train psnr: 38.46
epoch: 25, train loss: 9.4647e-03, train psnr: 38.22
epoch: 26, train loss: 9.5142e-03, train psnr: 38.13
epoch: 27, train loss: 9.0202e-03, train psnr: 38.43
epoch: 28, train loss: 9.3620e-03, train psnr: 38.28
epoch: 29, train loss: 8.6825e-03, train psnr: 38.90
epoch: 30, train loss: 9.5336e-03, train psnr: 38.14
epoch: 31, train loss: 8.9030e-03, train psnr: 38.80
epoch: 32, train loss: 9.0336e-03, train psnr: 38.53
epoch: 33, train loss: 8.9615e-03, train psnr: 38.65
epoch: 34, train loss: 8.9718e-03, train psnr: 38.55
epoch: 35, train loss: 9.5662e-03, train psnr: 38.30
epoch: 36, train loss: 9.1218e-03, train psnr: 38.54
epoch: 37, train loss: 8.7355e-03, train psnr: 38.95
epoch: 38, train loss: 8.9986e-03, train psnr: 38.68
epoch: 39, train loss: 8.9853e-03, train psnr: 38.68
epoch: 40, train loss: 8.7531e-03, train psnr: 39.08
epoch: 41, train loss: 8.5843e-03, train psnr: 39.05
epoch: 42, train loss: 8.7403e-03, train psnr: 38.80
epoch: 43, train loss: 9.0322e-03, train psnr: 38.79
epoch: 44, train loss: 8.5669e-03, train psnr: 39.11
epoch: 45, train loss: 8.2710e-03, train psnr: 39.33
epoch: 46, train loss: 8.4123e-03, train psnr: 39.22
epoch: 47, train loss: 8.7983e-03, train psnr: 38.85
epoch: 48, train loss: 8.5357e-03, train psnr: 39.11
epoch: 49, train loss: 8.4934e-03, train psnr: 39.27
epoch: 50, train loss: 8.8078e-03, train psnr: 38.94
epoch: 51, train loss: 8.5267e-03, train psnr: 39.17
epoch: 52, train loss: 8.1718e-03, train psnr: 39.36
epoch: 53, train loss: 8.2166e-03, train psnr: 39.41
epoch: 54, train loss: 8.5224e-03, train psnr: 39.14
epoch: 55, train loss: 8.0414e-03, train psnr: 39.51
epoch: 56, train loss: 8.1971e-03, train psnr: 39.36
epoch: 57, train loss: 8.1408e-03, train psnr: 39.44
epoch: 58, train loss: 7.8025e-03, train psnr: 39.76
epoch: 59, train loss: 8.0440e-03, train psnr: 39.48
epoch: 60, train loss: 8.1659e-03, train psnr: 39.36
epoch: 61, train loss: 8.2475e-03, train psnr: 39.46
epoch: 62, train loss: 8.1526e-03, train psnr: 39.52
epoch: 63, train loss: 7.9916e-03, train psnr: 39.64
epoch: 64, train loss: 7.4713e-03, train psnr: 40.06
epoch: 65, train loss: 7.6157e-03, train psnr: 40.03
epoch: 66, train loss: 7.8462e-03, train psnr: 39.74
epoch: 67, train loss: 7.7610e-03, train psnr: 39.80
epoch: 68, train loss: 8.3639e-03, train psnr: 39.34
epoch: 69, train loss: 7.8518e-03, train psnr: 39.75
epoch: 70, train loss: 8.1702e-03, train psnr: 39.48
epoch: 71, train loss: 8.1020e-03, train psnr: 39.50
epoch: 72, train loss: 7.5762e-03, train psnr: 40.07
epoch: 73, train loss: 7.6353e-03, train psnr: 39.96
epoch: 74, train loss: 7.8526e-03, train psnr: 39.86
epoch: 75, train loss: 7.6234e-03, train psnr: 40.01
epoch: 76, train loss: 8.3019e-03, train psnr: 39.41
epoch: 77, train loss: 7.8845e-03, train psnr: 39.91
epoch: 78, train loss: 7.7013e-03, train psnr: 39.84
epoch: 79, train loss: 7.8131e-03, train psnr: 39.82
epoch: 80, train loss: 7.5401e-03, train psnr: 40.03
epoch: 81, train loss: 7.8738e-03, train psnr: 39.94
epoch: 82, train loss: 8.1447e-03, train psnr: 39.63
epoch: 83, train loss: 7.4699e-03, train psnr: 40.12
epoch: 84, train loss: 7.5498e-03, train psnr: 39.95
epoch: 85, train loss: 7.3822e-03, train psnr: 40.26
epoch: 86, train loss: 7.3148e-03, train psnr: 40.35
epoch: 87, train loss: 7.6423e-03, train psnr: 40.06
epoch: 88, train loss: 7.8774e-03, train psnr: 39.81
epoch: 89, train loss: 8.0826e-03, train psnr: 39.56
epoch: 90, train loss: 7.8880e-03, train psnr: 39.81
epoch: 91, train loss: 7.6973e-03, train psnr: 39.99
epoch: 92, train loss: 7.3863e-03, train psnr: 40.26
epoch: 93, train loss: 7.4680e-03, train psnr: 40.24
epoch: 94, train loss: 7.5886e-03, train psnr: 40.03
epoch: 95, train loss: 7.4548e-03, train psnr: 40.27
epoch: 96, train loss: 7.7117e-03, train psnr: 39.97
epoch: 97, train loss: 7.7257e-03, train psnr: 40.15
epoch: 98, train loss: 7.2363e-03, train psnr: 40.45
epoch: 99, train loss: 7.1312e-03, train psnr: 40.56
epoch: 100, train loss: 7.6752e-03, train psnr: 40.01
epoch: 101, train loss: 7.6638e-03, train psnr: 40.01
epoch: 102, train loss: 7.3388e-03, train psnr: 40.40
epoch: 103, train loss: 7.3385e-03, train psnr: 40.24
epoch: 104, train loss: 7.4469e-03, train psnr: 40.25
epoch: 105, train loss: 7.2411e-03, train psnr: 40.49
epoch: 106, train loss: 7.5106e-03, train psnr: 40.17
epoch: 107, train loss: 7.3837e-03, train psnr: 40.52
epoch: 108, train loss: 7.5338e-03, train psnr: 40.17
epoch: 109, train loss: 7.4277e-03, train psnr: 40.16
epoch: 110, train loss: 7.1351e-03, train psnr: 40.60
epoch: 111, train loss: 7.5290e-03, train psnr: 40.28
epoch: 112, train loss: 7.3313e-03, train psnr: 40.52
epoch: 113, train loss: 7.2157e-03, train psnr: 40.49
epoch: 114, train loss: 7.2820e-03, train psnr: 40.48
epoch: 115, train loss: 7.3900e-03, train psnr: 40.34
epoch: 116, train loss: 7.3670e-03, train psnr: 40.36
epoch: 117, train loss: 6.9268e-03, train psnr: 40.82
epoch: 118, train loss: 7.2419e-03, train psnr: 40.57
epoch: 119, train loss: 7.2464e-03, train psnr: 40.53
epoch: 120, train loss: 7.3160e-03, train psnr: 40.50
epoch: 121, train loss: 7.2646e-03, train psnr: 40.53
epoch: 122, train loss: 7.1344e-03, train psnr: 40.61
epoch: 123, train loss: 7.0438e-03, train psnr: 40.65
epoch: 124, train loss: 7.2319e-03, train psnr: 40.67
epoch: 125, train loss: 6.9961e-03, train psnr: 40.86
epoch: 126, train loss: 7.0398e-03, train psnr: 40.64
epoch: 127, train loss: 7.0334e-03, train psnr: 40.68
epoch: 128, train loss: 7.2247e-03, train psnr: 40.73
epoch: 129, train loss: 7.0873e-03, train psnr: 40.51
epoch: 130, train loss: 7.1995e-03, train psnr: 40.73
epoch: 131, train loss: 7.2645e-03, train psnr: 40.54
epoch: 132, train loss: 7.3505e-03, train psnr: 40.44
epoch: 133, train loss: 7.1320e-03, train psnr: 40.72
epoch: 134, train loss: 7.2624e-03, train psnr: 40.59
epoch: 135, train loss: 7.2879e-03, train psnr: 40.54
epoch: 136, train loss: 6.9325e-03, train psnr: 40.93
epoch: 137, train loss: 7.0251e-03, train psnr: 40.87
epoch: 138, train loss: 7.5186e-03, train psnr: 40.53
epoch: 139, train loss: 7.1468e-03, train psnr: 40.66
epoch: 140, train loss: 7.0217e-03, train psnr: 40.83
epoch: 141, train loss: 7.1131e-03, train psnr: 40.65
epoch: 142, train loss: 6.9643e-03, train psnr: 40.92
epoch: 143, train loss: 7.1335e-03, train psnr: 40.80
epoch: 144, train loss: 7.0042e-03, train psnr: 40.76
epoch: 145, train loss: 7.0425e-03, train psnr: 40.78
epoch: 146, train loss: 7.3896e-03, train psnr: 40.55
epoch: 147, train loss: 6.9495e-03, train psnr: 40.84
epoch: 148, train loss: 6.7828e-03, train psnr: 40.99
epoch: 149, train loss: 6.9899e-03, train psnr: 40.89
epoch: 150, train loss: 7.3399e-03, train psnr: 40.45
epoch: 151, train loss: 6.7485e-03, train psnr: 41.08
epoch: 152, train loss: 7.0835e-03, train psnr: 40.89
epoch: 153, train loss: 7.0796e-03, train psnr: 40.75
epoch: 154, train loss: 6.9664e-03, train psnr: 40.76
epoch: 155, train loss: 7.3025e-03, train psnr: 40.66
epoch: 156, train loss: 6.9197e-03, train psnr: 40.91
epoch: 157, train loss: 7.0013e-03, train psnr: 40.86
epoch: 158, train loss: 6.9906e-03, train psnr: 40.87
epoch: 159, train loss: 6.9620e-03, train psnr: 40.86
epoch: 160, train loss: 6.8572e-03, train psnr: 40.97
epoch: 161, train loss: 6.8402e-03, train psnr: 41.07
epoch: 162, train loss: 6.9128e-03, train psnr: 41.00
epoch: 163, train loss: 7.0489e-03, train psnr: 40.82
epoch: 164, train loss: 7.0699e-03, train psnr: 40.72
epoch: 165, train loss: 7.2511e-03, train psnr: 40.59
epoch: 166, train loss: 6.7711e-03, train psnr: 41.00
epoch: 167, train loss: 6.9283e-03, train psnr: 40.90
epoch: 168, train loss: 7.1324e-03, train psnr: 40.86
epoch: 169, train loss: 6.8997e-03, train psnr: 40.99
epoch: 170, train loss: 6.7617e-03, train psnr: 41.09
epoch: 171, train loss: 6.9784e-03, train psnr: 40.89
epoch: 172, train loss: 6.9303e-03, train psnr: 40.94
epoch: 173, train loss: 6.8122e-03, train psnr: 41.09
epoch: 174, train loss: 6.4392e-03, train psnr: 41.46
epoch: 175, train loss: 6.6299e-03, train psnr: 41.24
epoch: 176, train loss: 6.7623e-03, train psnr: 41.10
epoch: 177, train loss: 7.0631e-03, train psnr: 40.81
epoch: 178, train loss: 6.9614e-03, train psnr: 41.05
epoch: 179, train loss: 6.8439e-03, train psnr: 41.18
epoch: 180, train loss: 7.0015e-03, train psnr: 40.90
epoch: 181, train loss: 7.0747e-03, train psnr: 40.80
epoch: 182, train loss: 6.7834e-03, train psnr: 40.97
epoch: 183, train loss: 7.1859e-03, train psnr: 40.61
epoch: 184, train loss: 6.7496e-03, train psnr: 41.13
epoch: 185, train loss: 6.9019e-03, train psnr: 40.93
epoch: 186, train loss: 6.9447e-03, train psnr: 40.91
epoch: 187, train loss: 6.7878e-03, train psnr: 41.18
epoch: 188, train loss: 6.5864e-03, train psnr: 41.35
epoch: 189, train loss: 6.5975e-03, train psnr: 41.32
epoch: 190, train loss: 6.9253e-03, train psnr: 40.97
epoch: 191, train loss: 6.7337e-03, train psnr: 41.26
epoch: 192, train loss: 6.7048e-03, train psnr: 41.25
epoch: 193, train loss: 6.5415e-03, train psnr: 41.34
epoch: 194, train loss: 7.0711e-03, train psnr: 40.87
